id,created,status,error,parentid,trackerx,trackery,lp1h,lp2h,lp1w,lp2w,rp1h,rp2h,rp1w,rp2w,fw1,f2w,fw3,fw4,edge1,edge2
LIGHT-AND-WHAT-IT-DOES-00035,2020-03-25T18:01:21.764Z,pass,,1,242,317,79,79,81,82,0,-0.999699,0,-0.00252586,723,723,722,722,1,6
LIGHT-AND-WHAT-IT-DOES-00036,2020-03-25T18:01:21.908Z,pass,,1,242,316,79,79,81,82,0,-0.999699,0,-0.00252586,723,723,724,724,5,6
LIGHT-AND-WHAT-IT-DOES-00037,2020-03-25T18:01:22.094Z,pass,,1,241,314,79,79,81,82,0,-0.999699,0,-0.00252586,723,723,722,722,3,5
LIGHT-AND-WHAT-IT-DOES-00038,2020-03-25T18:01:22.197Z,fail,more than 2 sprocket points detected,1,,,,,,,,,,,,,,,,,
LIGHT-AND-WHAT-IT-DOES-00039,2020-03-25T18:01:22.301Z,pass,,1,238,256,79,79,82,82,0,-0.999699,0,-0.00252586,723,723,726,726,4,0
LIGHT-AND-WHAT-IT-DOES-00040,2020-03-25T18:01:22.396Z,pass,,1,230,281,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,722,722,2,3
LIGHT-AND-WHAT-IT-DOES-00041,2020-03-25T18:01:22.495Z,pass,,1,230,281,79,79,82,81,0,-0.999699,0,-0.00252586,724,724,723,723,1,5
LIGHT-AND-WHAT-IT-DOES-00042,2020-03-25T18:01:22.594Z,pass,,1,261,443,79,79,14,82,0,-0.999699,0,-0.00252586,724,724,723,723,2,5
LIGHT-AND-WHAT-IT-DOES-00043,2020-03-25T18:01:22.692Z,pass,,1,231,279,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,723,723,1,6
LIGHT-AND-WHAT-IT-DOES-00044,2020-03-25T18:01:22.789Z,pass,,1,231,278,79,79,83,81,0,-0.999699,0,-0.00252586,725,725,723,723,2,13
LIGHT-AND-WHAT-IT-DOES-00045,2020-03-25T18:01:22.890Z,pass,,1,244,315,79,47,78,65,0,-0.999699,0,-0.00252586,725,725,723,723,2,5
